_phase33c_forensic.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	Phase 33C — rejected signal outcome audit (read-only forensic runner).
scripts/_write_phase23a.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	
scripts/phase12a_pa_dataset_builder.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	PHASE 12A — Full PA Institutional Dataset Builder (READ-ONLY + BUILD). Does NOT modify live trading flags or enable USE_ML_KERNEL. Outputs: logs/phase12a/ and data/ml/research/phase12a/
scripts/phase12b_regime_training.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	PHASE 12B — Regime-Specific ML Institutional Training (RESEARCH ONLY). Input: data/ml/research/phase12a/pa_setups_labeled.parquet Output: data/ml/research/phase12b/ + logs/phase12b/ Does NOT modify live trading flags or enable USE_ML_KERNEL.
scripts/phase12c_hybrid_certification.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	PHASE 12C — Adaptive Quality + ML Hybrid Certification (RESEARCH ONLY). Does NOT modify PA_PRODUCTION_LOCK, USE_ML_KERNEL, ADAPTIVE_REGIME_ENABLED, or execution adapters.
scripts/phase13a_cleanup_audit.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	PHASE 13A — Production Cleanup & Dead-Code Audit (READ-ONLY + smoke checks). Does NOT delete, refactor, or change config.
scripts/phase13b_no_trade_recovery.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	PHASE 13B — No-Trade Root Cause & Frequency Recovery (READ-ONLY + REPLAY). Does NOT change config, unlock Adaptive, enable ML live, or send orders. Cache-only: never attaches MT5.
scripts/phase13c_adaptive_hybrid_v2.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	PHASE 13C - Adaptive Quality v2 + ML Hybrid Certification (RESEARCH ONLY). Does NOT modify PA_PRODUCTION_LOCK, USE_ML_KERNEL, ADAPTIVE_REGIME_ENABLED, live routing, or order execution.
scripts/phase13d_ml_retraining.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	PHASE 13D - ML data expansion and regime model retraining (RESEARCH/TRAINING ONLY). No live ML enable, no router changes, no orders.
scripts/phase14a2_pa_no_signal_audit.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	PHASE 14A-2 PA No-Signal Deep Audit (READ-ONLY). No config changes.
scripts/phase14b2_pa_hold_replay.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	PHASE 14B-2 — replay last 1000 M5 bars into pa_hold_reasons.jsonl (READ/OBS).
scripts/phase14b2_pa_hold_replay_fast.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	
